,Regions,Crop,Yield (kg/ha),Blue Water (m3/ha),Green Water (m3/ha),GHGs (kg eq CO2/ha),Nitrogen (kg N/ha),Phosphorus (kg P2O5/ha),Potash (kg K2O/ha),Pesticides (kg/ha),Net Profit (US$/ha),Harvested Area (ha),Total Production (kg),Total income (US$)
0,Northeast,Wheat,4008.8627262958234,450.5881404088609,1970.056751660006,3.1509800648455237,159.14491390767662,100.7329563682098,9.65823279415288,4.042885627820823,90.09820698087395,344757.8,1382086694.01975,31062059.622670744
1,Northeast,Rice,6971.224029029185,2708.8914386986253,3880.2358498267786,5.041329794192338,165.86482201558402,78.96507960581675,71.09252941325339,18.42473280544274,970.7374787941811,3319167,23138656746.76071,3222039805.276846
2,Northeast,Maize,6467.488579931151,241.08747545742395,3136.319869107386,1.1799128161470187,175.230883279349,93.5405969723707,60.74403010072484,8.245211496357744,416.51134611908105,9483499.200000001,61334422773.78622,3949985017.711229
3,Northeast,soybean,1707.1377894311963,28.42654132401908,3016.9645954947036,1.840260788518663,60.59221440581088,62.622626468200465,31.378578890492623,8.491155673426837,224.48157522259737,4575899.300000001,7811690615.66176,1027205082.9239808
4,Northeast,rapeseed,1786.0439852861473,2.2248942117663817,465.3555690130982,1.639008421514923,190.62991495397543,39.00436779289839,0.9180854258532791,0.21508848102478662,-1092.5751209487523,84248.5,150471526.69438,-92047815.07725096
5,Northeast,groundnut,2586.9130077192476,437.9435383913524,3113.7293765466547,0.5936035923792501,126.34870968812879,89.98478200982846,59.45968568546688,20.780990164289676,741.5405338003733,536157.2,1386992034.86233,397582296.2889135
6,Northeast,cotton,6342.937118383465,31.28965314843451,3466.975997239819,0.28879865649058045,218.7072679203871,127.41570309772037,77.15324736868358,43.23376540563211,3507.6876589212834,6014.1,38147058.12367,21095584.349518493
7,Northeast,sugbeet,64913.65057647539,30.576147270745626,3581.030078087416,1.476786320976514,187.98675014473216,112.08113046007159,34.76601485101421,6.315623913009974,1216.5276239894918,36792.1,2388309523.37474,44758605.99458378
8,Northeast,sugcane,0,0,0,0,0,0,0,0,0,0,0,0
9,North China,Wheat,5722.0540913532195,1887.6362109759064,1658.4806579241583,1.0868951529287316,224.39129530679688,119.54182117039547,67.68852616427628,9.953239569357583,385.70145457130343,12642774.7,72342640698.19197,4876336591.607274
10,North China,Rice,7926.897363797244,1805.7535731487212,4326.300252844925,7.864268199578589,227.4568036248852,56.37758152761622,48.613699848429235,28.25149190682469,935.1895647777129,1467492.097,11632659235.10259,1372383295.5081632
11,North China,Maize,5391.528853008065,830.8454339815822,2857.610921638965,1.2571530069979306,208.82895572226653,76.4271624549911,54.56092117026715,10.046575746336368,533.5041583912986,9373842.5,50539342302.30325,5000983953.855086
12,North China,soybean,1862.8189512693384,349.0323076412851,2699.230672909535,0.9383847104564036,40.544820108952734,20.308181972741394,14.248066878533029,9.944156468270192,418.6430896453938,1204595.8,2243943884.85945,504295707.4858649
13,North China,rapeseed,2734.1269499588643,179.20451895156873,1583.5419906771613,0.9715662825523211,138.305853254319,46.59885459658863,37.35828536469557,4.732792274834602,-59.965355177714045,219032,598861294.10339,-13134331.675285062
14,North China,groundnut,4265.769471894245,850.2803320173789,3292.0481414786827,0.518581178577348,129.76608616640863,96.20983967662237,83.33660896927242,16.670957138863418,1572.9494175446398,1863134.4,7947701845.556001,2930616169.2873816
15,North China,cotton,3475.6164057144506,1454.759179596381,3933.0909866833404,1.0585739626281172,188.77260061051695,119.33473157443395,76.19348940304137,44.969192903577245,1897.655980670832,2169079.9,7538889685.74546,4116167444.78789
16,North China,sugbeet,8882.078399400676,0,3428.760144425056,0.02889923188571242,235.64999999999998,151.35,22.05,7.0006084462154226,144.30884791642515,61319,544640165.3728501,8848874.245387273
17,North China,sugcane,57576.20373108494,0,4600.910445571524,1.2167595859492555,466.65,175.95000000000002,181.8,25.754870020550417,1360.6570656113752,7709.2,443866469.80368,10489577.450211214
18,Yangtze,Wheat,4757.139063511103,530.1615246460885,2236.0083067032674,1.067460738848112,206.42016617200093,86.1381951454257,63.158852836905254,12.649494124984258,325.8944337221552,3409407.100000001,16219023698.82211,1111106796.1827958
19,Yangtze,Rice,6122.484501521705,1208.3227123245072,4120.627864945994,8.074191484143126,179.82748752494706,60.27668908110267,60.203292411809095,31.777554680155095,563.2327969487849,14151866.383,86644582597.52353,7970795284.942574
20,Yangtze,Maize,4886.962710278991,308.2486825494071,2893.849142954691,0.995937019802946,219.92026451326234,61.676911890632184,43.84128492593053,9.269890921258334,443.9137326158429,1436064.1,7017991706.27036,637488574.9066111
21,Yangtze,soybean,2147.314015848977,210.60474298041163,2680.372529744104,0.883243630683958,46.48905982381826,35.9152972085408,19.172264315734814,9.549175625509422,340.82606885651353,890319.3,1911795111.47085,303444027.0460829
22,Yangtze,rapeseed,1853.0323204360702,106.65206463079276,2415.4846071610727,0.92762353980103,139.4033606663189,57.84019351945022,37.557381769449535,7.928885185016417,91.01394476665867,3869378.5,7170083420.500441,352167401.0802966
23,Yangtze,groundnut,3646.2965465241,401.1863195685077,3759.2196631774764,0.4914118997344679,118.18990227125076,85.24286352199864,65.7164414093566,15.718127386089003,1191.891754062738,852891.3,3109894601.75045,1016554107.581849
24,Yangtze,cotton,4253.13410916512,1146.1296645113403,5335.101897353338,0.9887947745014549,293.206447962766,113.4485635817677,128.7057343713056,54.37931286770801,2279.017894756933,1267959.4,5392801373.17654,2889702162.4252634
25,Yangtze,sugbeet,12801.299434444743,0,4525.219252487228,0.029064264587254637,235.65,151.35,22.05,7.000608446215423,207.98519108548902,371.9,4760803.25967,77349.69256469337
26,Yangtze,sugcane,47959.57309191768,2.07195110691394,6140.805089892719,1.0155642450680087,471.4640318167902,172.18194694393915,185.1066395398374,28.654639173063806,725.9265212731684,61734.7,2960769856.95761,44814856.01284267
27,Southern China,Wheat,2056.8610986054987,0,2666.9274517562817,1.0113072976376176,213.44999999999996,111.3,52.5,9.631363409687953,106.3307019505062,5320.900000000001,10944352.21957,565775.0320084485
28,Southern China,Rice,4148.935200303697,917.0744600618344,4189.63788406571,7.296567956205734,189.29475558529992,88.23710001310812,72.20629960933984,30.708337193978867,248.3136187232286,3585930.981000001,14877795272.930471,890435498.3838474
29,Southern China,Maize,4114.486965239568,0,3210.0839299160425,1.0044895594372196,211.0567952522255,82.79567900847928,43.80258183725719,8.053905958508404,309.9174608230328,191584.5,788271927.99194,59375381.77305033
30,Southern China,soybean,2026.388680574948,0,2915.0724478423294,1.0187745643262454,55.95,51,25.349999999999998,8.518635119815817,305.28719930688806,123802.5,250871984.62688,37795318.49219101
31,Southern China,rapeseed,977.6399288588185,0,2682.8159793657687,1.0352494787141615,137.906870981755,58.003569070373594,29.814657471763685,6.993334619089394,10.260964176625436,23020,22505271.16233,236207.39534591752
32,Southern China,groundnut,2579.866480274701,0,4226.4267982890315,0.4730524877418512,101.0103443215101,94.16260517192258,56.180785510523314,20.669611105104913,645.8255904459952,440849.6,1137333105.88251,284711953.2178808
33,Southern China,cotton,2025.3655042759406,0,5474.43216077537,0.0676539338654504,249.14999999999998,133.95,69.15,41.36991138637198,1085.9146845578803,350.8,710498.2189,380938.8713429044
34,Southern China,sugbeet,79988.1627306315,0,4961.717250259875,0.0012728690228690227,235.65,151.35,22.049999999999994,7.0006084462154226,1299.5831709185888,3848,307794450.18747,5000796.04169473
35,Southern China,sugcane,55499.13091882486,0.021877366653331225,8163.374103472841,0.9914585196861696,451.38878118267206,196.29379602887366,130.3522559879901,20.1818305081987,1448.8453275830334,300952.4,16702596647.93455,436033478.56490016
36,Northwest,Wheat,3278.9132372398253,2343.888065267403,1473.5232366548516,0.9126388505593278,233.22003517481716,140.09297814841074,20.94462695156736,6.722110595088535,107.28069584085966,5183481.1,16996184793.77245,556087459.2859446
37,Northwest,Rice,6447.120556783416,5083.5615924253625,2716.5563452527317,4.327138968111556,179.54594868980107,59.69836717128628,41.84202938160998,20.12001768406406,662.0521621563205,398630.3,2570017601.68674,263914052.01602268
38,Northwest,Maize,5105.474407225375,1286.95726187452,2385.4788644325004,0.9354921035222613,239.1805528421018,96.77865888435586,20.0045906358566,5.554000242694373,436.21394631826684,7331370,37430121904.8999,3198045839.619352
39,Northwest,soybean,1390.211712418434,1146.3224906127246,2408.2009992546464,0.8065415915399596,64.53815829644468,56.81040054436918,18.00794602521346,5.670821237932861,216.4262875724391,824440.5,1146146839.29211,178430596.73936546
40,Northwest,rapeseed,1619.4082624794914,709.6054780787977,1462.4454526187674,0.7775953251319392,142.9301028596702,77.40897910018252,12.214409759534586,5.482754292343825,-41.46003605306335,626747.1,1014959432.22506,-25984957.362152897
41,Northwest,groundnut,2518.634863948505,1571.881620365036,2829.360805545608,0.47398373811577643,124.73406836717854,83.50412354921384,68.57067999713503,16.486925256610917,849.340625431059,160559.5,404390754.43814,136369706.14889812
42,Northwest,cotton,3998.8848489513057,6883.825806358019,1272.6132068944241,1.007707769132198,282.7960385948008,169.62851752676332,16.970567961461136,28.034049018499104,2053.2484622055094,1423103.6,5690827424.52806,2921985278.2591248
43,Northwest,sugbeet,81197.48988102643,2860.616689327494,2247.5159625870374,0.8137046443275523,262.21554929786913,172.48934754020922,16.99539591084571,7.106292712816086,1190.2988213086878,68591.2,5569433267.92746,81644024.51214847
44,Northwest,sugcane,91894.10806332342,0,3224.809827092394,0,466.65,175.95,181.80000000000004,25.754870020550417,2171.6674480284864,3770.8,346514302.68518,8188923.613025817
45, Southwest,Wheat,2734.699272685221,101.5886260018464,2087.9957973250685,0.7785915059822368,167.10429633853386,80.50041624072497,24.6441874543053,8.358214733560526,-179.816889081349,2582219.7,7061594335.503449,-464326713.3785743
46, Southwest,Rice,5959.143141998537,891.8745717899874,4576.034642429753,8.037730932300924,180.5858459075876,59.996577736540715,48.65333299015963,21.743023106799754,533.308602362038,6874128.126000001,40963913479.27216,3666031663.3346357
47, Southwest,Maize,4566.537627956672,16.571045272933738,3124.9332503397823,0.8889400218598439,259.7703212904678,65.8967113717594,28.177975627782608,6.8597087268026256,187.3906947534475,4520983.8,20645242638.08254,847190295.2510811
